sector,rating,next_rating,barrier
construction_immo,AAA,AAA,
construction_immo,A,AAA,inf
construction_immo,BBB,AAA,inf
construction_immo,BB,AAA,inf
construction_immo,B,AAA,inf
construction_immo,C,AAA,inf
construction_immo,AAA,A,
construction_immo,A,A,inf
construction_immo,BBB,A,inf
construction_immo,BB,A,inf
construction_immo,B,A,inf
construction_immo,C,A,inf
construction_immo,AAA,BBB,
construction_immo,A,BBB,-2.2555889554631765
construction_immo,BBB,BBB,1.8950084190099998
construction_immo,BB,BBB,inf
construction_immo,B,BBB,inf
construction_immo,C,BBB,inf
construction_immo,AAA,BB,
construction_immo,A,BB,-inf
construction_immo,BBB,BB,-2.1297165627286367
construction_immo,BB,BB,1.5212180464259335
construction_immo,B,BB,inf
construction_immo,C,BB,1.8339146358159146
construction_immo,AAA,B,
construction_immo,A,B,-inf
construction_immo,BBB,B,-inf
construction_immo,BB,B,-1.0200762327862014
construction_immo,B,B,inf
construction_immo,C,B,1.8339146358159146
construction_immo,AAA,C,
construction_immo,A,C,-inf
construction_immo,BBB,C,-inf
construction_immo,BB,C,-1.9491119969398876
construction_immo,B,C,-1.5341205443525463
construction_immo,C,C,0.8416212335729143
construction_immo,AAA,D,
construction_immo,A,D,-inf
construction_immo,BBB,D,-inf
construction_immo,BB,D,-inf
construction_immo,B,D,-2.5313130908994506
construction_immo,C,D,-inf
extraction_primaire,AAA,AAA,inf
extraction_primaire,A,AAA,inf
extraction_primaire,BBB,AAA,inf
extraction_primaire,BB,AAA,inf
extraction_primaire,B,AAA,8.209536151601387
extraction_primaire,C,AAA,8.209536151601387
extraction_primaire,AAA,A,-0.5350828150863223
extraction_primaire,A,A,2.0190862005831423
extraction_primaire,BBB,A,inf
extraction_primaire,BB,A,inf
extraction_primaire,B,A,8.209536151601387
extraction_primaire,C,A,8.209536151601387
extraction_primaire,AAA,BBB,-1.044408794872596
extraction_primaire,A,BBB,-0.6574842961791972
extraction_primaire,BBB,BBB,1.4026732899923233
extraction_primaire,BB,BBB,inf
extraction_primaire,B,BBB,8.209536151601387
extraction_primaire,C,BBB,8.209536151601387
extraction_primaire,AAA,BB,-1.044408794872596
extraction_primaire,A,BB,-1.655485343834978
extraction_primaire,BBB,BB,-1.0675705238781414
extraction_primaire,BB,BB,1.5184980572589324
extraction_primaire,B,BB,2.289353466219406
extraction_primaire,C,BB,2.085355566031827
extraction_primaire,AAA,B,-inf
extraction_primaire,A,B,-2.1368684146413353
extraction_primaire,BBB,B,-1.884304422782422
extraction_primaire,BB,B,-1.2206403488473496
extraction_primaire,B,B,1.7047809048894005
extraction_primaire,C,B,2.085355566031827
extraction_primaire,AAA,C,-inf
extraction_primaire,A,C,-inf
extraction_primaire,BBB,C,-2.368567059267873
extraction_primaire,BB,C,-2.009874772195385
extraction_primaire,B,C,-1.2857526164201447
extraction_primaire,C,C,0.895779818883589
extraction_primaire,AAA,D,-inf
extraction_primaire,A,D,-inf
extraction_primaire,BBB,D,-inf
extraction_primaire,BB,D,-inf
extraction_primaire,B,D,-2.4395422638528808
extraction_primaire,C,D,-2.085355566031829
finance,AAA,AAA,inf
finance,A,AAA,inf
finance,BBB,AAA,inf
finance,BB,AAA,inf
finance,B,AAA,inf
finance,C,AAA,inf
finance,AAA,A,-0.6306003242636712
finance,A,A,1.8980286526220012
finance,BBB,A,2.356799837637476
finance,BB,A,inf
finance,B,A,inf
finance,C,A,inf
finance,AAA,BBB,-inf
finance,A,BBB,-1.3228134120096982
finance,BBB,BBB,1.1419947036567595
finance,BB,BBB,inf
finance,B,BBB,inf
finance,C,BBB,inf
finance,AAA,BB,-inf
finance,A,BB,-inf
finance,BBB,BB,-1.9946327467818061
finance,BB,BB,1.5310845286642527
finance,B,BB,2.7623392759146475
finance,C,BB,1.970505303170329
finance,AAA,B,-inf
finance,A,B,-inf
finance,BBB,B,-2.272746268959089
finance,BB,B,-1.5072892691559818
finance,B,B,1.6427705477214904
finance,C,B,1.970505303170329
finance,AAA,C,-inf
finance,A,C,-inf
finance,BBB,C,-2.83321105066935
finance,BB,C,-inf
finance,B,C,-1.552609313467307
finance,C,C,0.693804407736368
finance,AAA,D,-inf
finance,A,D,-inf
finance,BBB,D,-inf
finance,BB,D,-inf
finance,B,D,-2.9813890022450003
finance,C,D,-1.970505303170329
industrie,AAA,AAA,inf
industrie,A,AAA,inf
industrie,BBB,AAA,inf
industrie,BB,AAA,inf
industrie,B,AAA,inf
industrie,C,AAA,inf
industrie,AAA,A,-0.8086216940604897
industrie,A,A,2.1364095280590774
industrie,BBB,A,inf
industrie,BB,A,2.5321659577854105
industrie,B,A,3.042522720945568
industrie,C,A,inf
industrie,AAA,BBB,-1.484255892830435
industrie,A,BBB,-1.0648549353537287
industrie,BBB,BBB,1.2475913534347747
industrie,BB,BBB,2.2275441107316354
industrie,B,BBB,2.6950350284873785
industrie,C,BBB,inf
industrie,AAA,BB,-1.5053605530744096
industrie,A,BB,-2.0241441074855886
industrie,BBB,BB,-1.3506196941205812
industrie,BB,BB,1.528792914470257
industrie,B,BB,2.4553117329092737
industrie,C,BB,inf
industrie,AAA,B,-2.542086695734729
industrie,A,B,-2.3474907264146996
industrie,BBB,B,-2.3330339140445835
industrie,BB,B,-1.377295025366218
industrie,B,B,1.56120634116449
industrie,C,B,2.180815302168275
industrie,AAA,C,-2.7756208502803483
industrie,A,C,-3.135056004054666
industrie,BBB,C,-2.8837846865474583
industrie,BB,C,-2.484991148632253
industrie,B,C,-1.5179291595942785
industrie,C,C,0.6573608710618603
industrie,AAA,D,-inf
industrie,A,D,-inf
industrie,BBB,D,-inf
industrie,BB,D,-inf
industrie,B,D,-inf
industrie,C,D,-inf
info-com,AAA,AAA,inf
info-com,A,AAA,inf
info-com,BBB,AAA,8.209536151601387
info-com,BB,AAA,inf
info-com,B,AAA,inf
info-com,C,AAA,inf
info-com,AAA,A,-0.8416212335729142
info-com,A,A,inf
info-com,BBB,A,8.209536151601387
info-com,BB,A,inf
info-com,B,A,inf
info-com,C,A,inf
info-com,AAA,BBB,-inf
info-com,A,BBB,-0.43072729929545756
info-com,BBB,BBB,2.222796752209741
info-com,BB,BBB,inf
info-com,B,BBB,2.9796262355232037
info-com,C,BBB,inf
info-com,AAA,BB,-inf
info-com,A,BB,-1.6325479658463486
info-com,BBB,BB,-1.2187191167289835
info-com,BB,BB,2.1482270720472236
info-com,B,BB,2.3799280793094204
info-com,C,BB,inf
info-com,AAA,B,-inf
info-com,A,B,-inf
info-com,BBB,B,-inf
info-com,BB,B,-1.3995497935637218
info-com,B,B,1.4812944059618491
info-com,C,B,inf
info-com,AAA,C,-inf
info-com,A,C,-inf
info-com,BBB,C,-inf
info-com,BB,C,-2.235926641317926
info-com,B,C,-1.7628720150628823
info-com,C,C,0.7582925569911514
info-com,AAA,D,-inf
info-com,A,D,-inf
info-com,BBB,D,-inf
info-com,BB,D,-2.7297028177674068
info-com,B,D,-2.9796262355231855
info-com,C,D,-2.11438077152756
public,AAA,AAA,inf
public,A,AAA,inf
public,BBB,AAA,inf
public,BB,AAA,inf
public,B,AAA,inf
public,C,AAA,inf
public,AAA,A,-0.7542414951202904
public,A,A,1.616403662001192
public,BBB,A,inf
public,BB,A,inf
public,B,A,inf
