sector,rating,next_rating,barrier
construction_immo,AAA,AAA,inf
construction_immo,A,AAA,inf
construction_immo,BBB,AAA,inf
construction_immo,BB,AAA,inf
construction_immo,B,AAA,
construction_immo,C,AAA,
construction_immo,AAA,A,-2.342221606715254
construction_immo,A,A,1.7091039611127479
construction_immo,BBB,A,inf
construction_immo,BB,A,inf
construction_immo,B,A,
construction_immo,C,A,
construction_immo,AAA,BBB,-inf
construction_immo,A,BBB,-2.6834826986356553
construction_immo,BBB,BBB,1.1969057734921065
construction_immo,BB,BBB,inf
construction_immo,B,BBB,
construction_immo,C,BBB,
construction_immo,AAA,BB,-inf
construction_immo,A,BB,-inf
construction_immo,BBB,BB,-inf
construction_immo,BB,BB,inf
construction_immo,B,BB,
construction_immo,C,BB,
construction_immo,AAA,B,-inf
construction_immo,A,B,-inf
construction_immo,BBB,B,-inf
construction_immo,BB,B,-inf
construction_immo,B,B,
construction_immo,C,B,
construction_immo,AAA,C,-inf
construction_immo,A,C,-inf
construction_immo,BBB,C,-inf
construction_immo,BB,C,-inf
construction_immo,B,C,
construction_immo,C,C,
construction_immo,AAA,D,-inf
construction_immo,A,D,-inf
construction_immo,BBB,D,-inf
construction_immo,BB,D,-inf
construction_immo,B,D,
construction_immo,C,D,
extraction_primaire,AAA,AAA,inf
extraction_primaire,A,AAA,inf
extraction_primaire,BBB,AAA,inf
extraction_primaire,BB,AAA,inf
extraction_primaire,B,AAA,
extraction_primaire,C,AAA,
extraction_primaire,AAA,A,-inf
extraction_primaire,A,A,inf
extraction_primaire,BBB,A,inf
extraction_primaire,BB,A,inf
extraction_primaire,B,A,
extraction_primaire,C,A,
extraction_primaire,AAA,BBB,-inf
extraction_primaire,A,BBB,-inf
extraction_primaire,BBB,BBB,1.0200762327862014
extraction_primaire,BB,BBB,inf
extraction_primaire,B,BBB,
extraction_primaire,C,BBB,
extraction_primaire,AAA,BB,-inf
extraction_primaire,A,BB,-inf
extraction_primaire,BBB,BB,-inf
extraction_primaire,BB,BB,-0.43072729929545756
extraction_primaire,B,BB,
extraction_primaire,C,BB,
extraction_primaire,AAA,B,-inf
extraction_primaire,A,B,-inf
extraction_primaire,BBB,B,-inf
extraction_primaire,BB,B,-inf
extraction_primaire,B,B,
extraction_primaire,C,B,
extraction_primaire,AAA,C,-inf
extraction_primaire,A,C,-inf
extraction_primaire,BBB,C,-inf
extraction_primaire,BB,C,-inf
extraction_primaire,B,C,
extraction_primaire,C,C,
extraction_primaire,AAA,D,-inf
extraction_primaire,A,D,-inf
