date,US_Central_bank_Intervention_rate_policy_interest_rate,US_Effective_exchange_rate,US_Equity_prices,US_GDP_Growth_Rate,US_House_prices_residential,US_Inflation_rate,US_Long_term_interest_rate,US_Oil_price,US_Unemployment_rate
2010-01-01,0.125,84.74,46.87517079763923,0.484500951,94.481013982933,2.360525,3.71666666666667,76.6748371290545,9.833333
2010-04-01,0.125,86.10666666666667,41.31474585286818,0.967586118,93.8768434754699,1.767765,3.49,78.8450360750361,9.633333
2010-07-01,0.125,84.92333333333333,45.74360172777119,0.771084936,92.1374913360339,1.175609,2.78666666666667,76.675,9.466666
2010-10-01,0.125,81.39,50.4109589979487,0.525110261,90.6412949074565,1.270248,2.86333333333333,87.0331601731602,9.5
2011-01-01,0.125,80.34333333333333,53.14426924592448,-0.237204897,87.9081163859295,2.141127,3.46,105.369424085576,9.033334
2011-04-01,0.125,78.92666666666666,52.93623680390221,0.676582293,86.31084602615459,3.430395,3.21,117.541904761905,9.066667
2011-07-01,0.125,79.42666666666666,45.35158612993749,-0.022312736,86.1673680599135,3.756174,2.42666666666667,113.266947738252,9.0
2011-10-01,0.125,81.78666666666666,50.40935408118834,1.123049057,86.049087188376,3.293777,2.04666666666667,109.978629148629,8.633333
2012-01-01,0.125,81.17999999999999,56.45679297410501,0.83859082,85.8501597078957,2.815192,2.03666666666667,118.427965367965,8.266666
2012-04-01,0.125,82.92333333333333,54.60051591223591,0.446334746,87.0040287713004,1.889765,1.82333333333333,109.060407177364,8.2
2012-07-01,0.125,82.83333333333333,57.74749345519349,0.144027997,87.8201651903205,1.697784,1.64333333333333,110.133826745718,8.033334
2012-10-01,0.125,81.1,57.16707628741847,0.115640554,88.6415394129866,1.889365,1.70666666666667,110.424491498839,7.8
2013-01-01,0.125,81.45,62.899056069186,0.986560664,90.1485646369995,1.681829,1.95,112.867180124224,7.733333
2013-04-01,0.125,82.41333333333333,64.38576679571078,0.267636335,91.9131775380463,1.39285,1.99666666666667,103.099644927536,7.533333
2013-07-01,0.125,83.21333333333334,67.402873300091,0.851393569,92.9750504227428,1.553359,2.71,110.266868059477,7.233333
2013-10-01,0.125,81.95666666666666,74.08924521302995,0.871741753,93.5463246111696,1.233471,2.74666666666667,109.613208796035,6.933333
2014-01-01,0.125,83.11,75.05045334739397,-0.345095985,94.2437450034139,1.405456,2.76333333333333,108.211017253278,6.666667
2014-04-01,0.125,83.21666666666667,78.57341689273728,1.291842129,94.6582143485316,2.050846,2.62333333333333,110.02562049062,6.2
2014-07-01,0.125,83.79333333333334,79.05682956424994,1.215391409,95.4328396898647,1.783154,2.49666666666667,102.572413576761,6.066667
2014-10-01,0.125,86.50333333333333,82.528479810612,0.505733136,96.7995363114647,1.248028,2.28,76.572731884058,5.7
2015-01-01,0.125,90.81333333333333,82.88883255370098,0.900484978,98.5743079394968,-0.06269593,1.96666666666667,54.5705757575757,5.533333
2015-04-01,0.125,91.95,82.69724072239455,0.619405087,99.3283413167805,-0.03827201,2.16666666666667,62.5467243867244,5.433333
2015-07-01,0.125,94.87,76.96205110710632,0.400245061,100.298413649832,0.1095034,2.22,50.7979430955518,5.1
2015-10-01,0.2083333333333333,95.66333333333334,81.92882810690722,0.184479126,101.798937093891,0.4662646,2.19,44.175606374302,5.033333
2016-01-01,0.375,97.27666666666667,82.56215370434606,0.579519406,103.014532651063,1.080267,1.92,35.1999309868875,4.9
2016-04-01,0.375,95.58666666666666,84.13023566783644,0.321124068,103.853379961698,1.047063,1.75333333333333,46.9809163059163,4.933333
2016-07-01,0.375,96.48333333333333,86.91244694661407,0.709390255,105.040393207356,1.117615,1.56333333333333,47.0091878411444,4.9
2016-10-01,0.4583333333333333,99.40333333333334,89.74076043794068,0.554299113,106.194642542714,1.800621,2.13,51.1262698412698,4.766667
2017-01-01,0.7083333333333334,100.16,94.7067349793614,0.48689021,106.941430908257,2.53932,2.44333333333333,54.8207088274045,4.566667
2017-04-01,0.9583333333333334,97.84666666666666,97.13941691710463,0.559872562,108.57054031145,1.901991,2.26333333333333,51.0016916996047,4.366667
2017-07-01,1.125,94.44,100.9854629282088,0.788524131,109.857003432872,1.966925,2.24333333333333,52.246259489303,4.333333
2017-10-01,1.208333333333333,94.81333333333333,107.1683851753252,1.127046627,110.830105858777,2.117558,2.37,61.4790043290043,4.166667
2018-01-01,1.458333333333333,92.19,105.8560427831664,0.813409802,112.129171090488,2.214195,2.76,67.1591495388669,4.033333
2018-04-01,1.708333333333333,94.88,108.9625353222362,0.530825141,112.842441483433,2.711887,2.92,74.8900207039338,3.933333
2018-07-01,1.958333333333333,97.47,116.8033170106449,0.623697425,113.928900960797,2.64094,2.92666666666667,76.0811317523057,3.766667
2018-10-01,2.208333333333333,98.58333333333333,100.4840145152978,0.141644219,114.762234080083,2.203131,3.03333333333333,68.3200699542004,3.833333
2019-01-01,2.375,97.4,113.613447088659,0.624318082,115.884366953846,1.644936,2.65333333333333,63.7568957902001,3.866667
2019-04-01,2.375,98.63333333333334,117.9168454460756,0.835145841,116.625998721957,1.811376,2.33333333333333,68.3578465085639,3.633333
2019-07-01,2.125,99.49,119.318975102114,1.170001857,117.87558759469,1.757488,1.79666666666667,62.1237693707259,3.6
2019-10-01,1.625,98.81,129.5018587920839,0.68187787,119.382220322047,2.032914,1.79333333333333,62.5553842775582,3.6
2020-01-01,1.125,99.61,103.6001267688519,-1.392441086,121.333352297441,2.118652,1.37666666666667,51.1789894598155,3.833333
2020-04-01,0.125,103.3633333333333,124.2713274232274,-7.908965238,122.603303951878,0.3642956,0.686666666666667,33.3771572871573,13.0
2020-07-01,0.125,100.1433333333333,134.8017343082811,7.83022506,126.156829256674,1.222386,0.65,43.4346329757199,8.8
2020-10-01,0.125,96.88,150.557466368798,1.084725512,131.175428615436,1.239488,0.8633333333333342,45.3445915678524,6.733333
2021-01-01,0.125,95.45666666666666,159.2484233527719,1.380186139,134.400200534156,1.898514,1.31666666666667,61.1277829537612,6.233333
2021-04-01,0.125,96.74333333333333,172.2600217632584,1.570044874,138.336391628214,4.848945,1.59333333333333,69.1399278499279,5.933333
2021-07-01,0.125,98.67333333333333,172.6624644269955,0.852849396,142.703324170375,5.335693,1.32333333333333,73.2469696969697,5.066667
2021-10-01,0.125,100.2766666666667,191.5495358781344,1.803158911,145.871283081825,6.689106,1.53666666666667,79.8113178367526,4.166667
2022-01-01,0.2083333333333333,101.3833333333333,181.5959399911837,-0.257454468,148.934617385994,7.964464333333333,1.94,97.443126984127,3.833333
2022-04-01,0.9583333333333334,105.5866666666667,151.7323143677677,0.070179443,150.879825780329,8.633299666666668,2.93,111.987359307359,3.633333
2022-07-01,2.625,109.7166666666667,143.7251889287949,0.673208201,148.936829373863,8.329725666666667,3.10666666666667,97.8346941464333,3.533333
2022-10-01,3.791666666666667,110.2033333333333,153.9016529517233,0.827827925,147.980571566938,7.103383666666667,3.83,88.7201298701299,3.566667
2023-01-01,4.625,106.24,164.7166585515616,0.692043793,147.968474836513,5.810244666666667,3.64666666666667,82.3236133069829,3.533333
2023-04-01,5.041666666666667,106.6566666666667,178.3880245417216,0.606973886,149.633602033748,3.982369,3.59333333333333,78.0861304347826,3.533333
2023-07-01,5.375,107.6933333333333,171.8812222635032,1.071522787,151.798294079492,3.514196666666667,4.15,85.9835472739821,3.666667
2023-10-01,5.375,108.5166666666667,191.1927941977562,0.788672703,153.288540042574,3.243513,4.44,82.8916810966811,3.8
2024-01-01,5.375,107.9533333333333,210.6141854971599,0.404802139,153.87545348457,3.240480333333333,4.16,81.9557142857143,3.833333
2024-04-01,5.375,110.0866666666667,218.8766492782743,0.738979623,154.462696473343,3.199263333333334,4.44333333333333,84.9819861660079,4.0
2024-07-01,5.208333333333333,109.4933333333333,230.9819492369722,0.75951048,155.18192433344,2.622038666666667,3.94666666666667,78.7083170211431,4.166667
2024-10-01,4.625,111.98,235.757927077769,0.607065022,156.414643552342,2.745114,4.28333333333333,74.0009401468097,4.133333
2025-01-01,4.375,114.0666666666667,223.7051392125838,-0.060750098,156.150480842315,2.737585666666667,4.45333333333333,75.0427805383023,4.1
