year_quarter,sector,rating,next_rating,observed,recalculated
2010-07-01,public,A,A,0.0,0.4982235138723917
2010-07-01,public,A,AAA,0.0,1.0169500160861489e-06
2010-07-01,public,A,B,0.0,0.0
2010-07-01,public,A,BB,0.0,0.0
2010-07-01,public,A,BBB,0.0,0.5017754691775922
2010-07-01,public,A,C,0.0,0.0
2010-07-01,public,A,D,0.0,0.0
2010-07-01,public,AAA,A,0.0,0.4981772876767853
2010-07-01,public,AAA,AAA,0.0,0.5018227123232146
2010-07-01,public,AAA,B,0.0,0.0
2010-07-01,public,AAA,BB,0.0,0.0
2010-07-01,public,AAA,BBB,0.0,0.0
2010-07-01,public,AAA,C,0.0,0.0
2010-07-01,public,AAA,D,0.0,0.0
2010-07-01,public,BB,A,0.0,0.0
2010-07-01,public,BB,AAA,0.0,0.0
2010-07-01,public,BB,B,0.0,0.0
2010-07-01,public,BB,BB,0.0,1.0
2010-07-01,public,BB,BBB,0.0,0.0
2010-07-01,public,BB,C,0.0,0.0
2010-07-01,public,BB,D,0.0,0.0
2010-07-01,public,BBB,A,0.0,7.667904176722473e-06
2010-07-01,public,BBB,AAA,0.0,0.0
2010-07-01,public,BBB,B,0.0,0.0
2010-07-01,public,BBB,BB,0.0,0.0
2010-07-01,public,BBB,BBB,0.0,0.9999923320958233
2010-07-01,public,BBB,C,0.0,0.0
2010-07-01,public,BBB,D,0.0,0.0
2010-10-01,public,A,A,0.0,0.4982235138723917
2010-10-01,public,A,AAA,0.0,1.0169500160861489e-06
2010-10-01,public,A,B,0.0,0.0
2010-10-01,public,A,BB,0.0,0.0
2010-10-01,public,A,BBB,0.0,0.5017754691775922
2010-10-01,public,A,C,0.0,0.0
2010-10-01,public,A,D,0.0,0.0
2010-10-01,public,AAA,A,0.0,0.4981772876767853
2010-10-01,public,AAA,AAA,0.0,0.5018227123232146
2010-10-01,public,AAA,B,0.0,0.0
2010-10-01,public,AAA,BB,0.0,0.0
2010-10-01,public,AAA,BBB,0.0,0.0
2010-10-01,public,AAA,C,0.0,0.0
2010-10-01,public,AAA,D,0.0,0.0
2010-10-01,public,BB,A,0.0,0.0
2010-10-01,public,BB,AAA,0.0,0.0
2010-10-01,public,BB,B,0.0,0.0
2010-10-01,public,BB,BB,0.0,1.0
2010-10-01,public,BB,BBB,0.0,0.0
2010-10-01,public,BB,C,0.0,0.0
2010-10-01,public,BB,D,0.0,0.0
2010-10-01,public,BBB,A,0.0,7.667904176722473e-06
2010-10-01,public,BBB,AAA,0.0,0.0
2010-10-01,public,BBB,B,0.0,0.0
2010-10-01,public,BBB,BB,0.0,0.0
2010-10-01,public,BBB,BBB,0.0,0.9999923320958233
2010-10-01,public,BBB,C,0.0,0.0
2010-10-01,public,BBB,D,0.0,0.0
2011-01-01,public,A,A,0.0,0.4982235138723917
2011-01-01,public,A,AAA,0.0,1.0169500160861489e-06
2011-01-01,public,A,B,0.0,0.0
2011-01-01,public,A,BB,0.0,0.0
2011-01-01,public,A,BBB,0.0,0.5017754691775922
2011-01-01,public,A,C,0.0,0.0
2011-01-01,public,A,D,0.0,0.0
2011-01-01,public,AAA,A,0.0,0.4981772876767853
2011-01-01,public,AAA,AAA,0.0,0.5018227123232146
2011-01-01,public,AAA,B,0.0,0.0
2011-01-01,public,AAA,BB,0.0,0.0
2011-01-01,public,AAA,BBB,0.0,0.0
2011-01-01,public,AAA,C,0.0,0.0
2011-01-01,public,AAA,D,0.0,0.0
2011-01-01,public,BB,A,0.0,0.0
2011-01-01,public,BB,AAA,0.0,0.0
2011-01-01,public,BB,B,0.0,0.0
2011-01-01,public,BB,BB,0.0,1.0
2011-01-01,public,BB,BBB,0.0,0.0
2011-01-01,public,BB,C,0.0,0.0
2011-01-01,public,BB,D,0.0,0.0
2011-01-01,public,BBB,A,0.0,7.667904176722473e-06
2011-01-01,public,BBB,AAA,0.0,0.0
2011-01-01,public,BBB,B,0.0,0.0
2011-01-01,public,BBB,BB,0.0,0.0
2011-01-01,public,BBB,BBB,0.0,0.9999923320958233
2011-01-01,public,BBB,C,0.0,0.0
2011-01-01,public,BBB,D,0.0,0.0
2011-04-01,public,A,A,0.0,0.49822352257138136
2011-04-01,public,A,AAA,0.0,1.0169501257761837e-06
2011-04-01,public,A,B,0.0,0.0
2011-04-01,public,A,BB,0.0,0.0
2011-04-01,public,A,BBB,0.0,0.5017754604784929
2011-04-01,public,A,C,0.0,0.0
2011-04-01,public,A,D,0.0,0.0
2011-04-01,public,AAA,A,0.5,0.49817727897769054
2011-04-01,public,AAA,AAA,0.5,0.5018227210223094
2011-04-01,public,AAA,B,0.0,0.0
2011-04-01,public,AAA,BB,0.0,0.0
2011-04-01,public,AAA,BBB,0.0,0.0
2011-04-01,public,AAA,C,0.0,0.0
2011-04-01,public,AAA,D,0.0,0.0
2011-04-01,public,BB,A,0.0,0.0
2011-04-01,public,BB,AAA,0.0,0.0
2011-04-01,public,BB,B,0.0,0.0
2011-04-01,public,BB,BB,0.0,1.0
2011-04-01,public,BB,BBB,0.0,0.0
2011-04-01,public,BB,C,0.0,0.0
2011-04-01,public,BB,D,0.0,0.0
2011-04-01,public,BBB,A,0.0,7.667904935004799e-06
2011-04-01,public,BBB,AAA,0.0,0.0
2011-04-01,public,BBB,B,0.0,0.0
2011-04-01,public,BBB,BB,0.0,0.0
2011-04-01,public,BBB,BBB,0.0,0.999992332095065
2011-04-01,public,BBB,C,0.0,0.0
2011-04-01,public,BBB,D,0.0,0.0
2011-07-01,public,A,A,0.0,0.49822352257138136
2011-07-01,public,A,AAA,0.0,1.0169501257761837e-06
2011-07-01,public,A,B,0.0,0.0
2011-07-01,public,A,BB,0.0,0.0
2011-07-01,public,A,BBB,0.0,0.5017754604784929
2011-07-01,public,A,C,0.0,0.0
2011-07-01,public,A,D,0.0,0.0
2011-07-01,public,AAA,A,0.5,0.49817727897769054
2011-07-01,public,AAA,AAA,0.5,0.5018227210223094
